item-db  | 2025-12-26T03:54:43.641+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=a331b5498eaa
item-db  | 2025-12-26T03:54:43.642+0000 I CONTROL  [initandlisten] db version v3.6.23
item-db  | 2025-12-26T03:54:43.642+0000 I CONTROL  [initandlisten] git version: d352e6a4764659e0d0350ce77279de3c1f243e5c
item-db  | 2025-12-26T03:54:43.642+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
item-db  | 2025-12-26T03:54:43.642+0000 I CONTROL  [initandlisten] allocator: tcmalloc
item-db  | 2025-12-26T03:54:43.642+0000 I CONTROL  [initandlisten] modules: none
item-db  | 2025-12-26T03:54:43.642+0000 I CONTROL  [initandlisten] build environment:
item-db  | 2025-12-26T03:54:43.642+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
item-db  | 2025-12-26T03:54:43.642+0000 I CONTROL  [initandlisten]     distarch: x86_64
item-db  | 2025-12-26T03:54:43.642+0000 I CONTROL  [initandlisten]     target_arch: x86_64
item-db  | 2025-12-26T03:54:43.642+0000 I CONTROL  [initandlisten] options: { net: { bindIpAll: true } }
item-db  | 2025-12-26T03:54:43.644+0000 I STORAGE  [initandlisten] 
item-db  | 2025-12-26T03:54:43.645+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
item-db  | 2025-12-26T03:54:43.645+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
item-db  | 2025-12-26T03:54:43.645+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3407M,cache_overflow=(file_max=0M),session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),compatibility=(release="3.0",require_max="3.0"),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
item-db  | 2025-12-26T03:54:44.057+0000 I STORAGE  [initandlisten] WiredTiger message [1766721284:57970][1:0x7fc364452a40], txn-recover: Set global recovery timestamp: 0
item-db  | 2025-12-26T03:54:44.094+0000 I CONTROL  [initandlisten] 
item-db  | 2025-12-26T03:54:44.094+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
item-db  | 2025-12-26T03:54:44.094+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
item-db  | 2025-12-26T03:54:44.094+0000 I CONTROL  [initandlisten] 
item-db  | 2025-12-26T03:54:44.094+0000 I CONTROL  [initandlisten] 
item-db  | 2025-12-26T03:54:44.094+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
item-db  | 2025-12-26T03:54:44.094+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
item-db  | 2025-12-26T03:54:44.094+0000 I CONTROL  [initandlisten] 
